Angelica,Blues Traveler,3.5
Angelica,Broken Bells,2
Angelica,Norah Jones,4.5
Angelica,Phoenix,5
Angelica,Slightly Stoopid,1.5
Angelica,The Strokes,2.5
Angelica,Vampire Weekend,2
Bill,Blues Traveler,2
Bill,Broken Bells,3.5
Bill,Deadmau5,4
Bill,Phoenix,2
Bill,Slightly Stoopid,3.5
Bill,Vampire Weekend,3
Chan,Blues Traveler,5
Chan,Broken Bells,1
Chan,Deadmau5,1
Chan,Norah Jones,3
Chan,Phoenix,5
Chan,Slightly Stoopid,1
Dan,Blues Traveler,3
Dan,Broken Bells,4
Dan,Deadmau5,4.5
Dan,Phoenix,3
Dan,Slightly Stoopid,4.5
Dan,The Strokes,4
Dan,Vampire Weekend,2
Hailey,Broken Bells,4
Hailey,Deadmau5,1
Hailey,Norah Jones,4
Hailey,The Strokes,4
Hailey,Vampire Weekend,1
Jordyn,Broken Bells,4.5
Jordyn,Deadmau5,4
Jordyn,Norah Jones,5
Jordyn,Phoenix,5
Jordyn,Slightly Stoopid,4.5
Jordyn,The Strokes,4
Jordyn,Vampire Weekend,4
Sam,Blues Traveler,5
Sam,Broken Bells,2
Sam,Norah Jones,3
Sam,Phoenix,5
Sam,Slightly Stoopid,4
Sam,The Strokes,5
Veronica,Blues Traveler,3
Veronica,Norah Jones,5
Veronica,Phoenix,4
Veronica,Slightly Stoopid,2.5
Veronica,The Strokes,3
